Sample.ID,site.id,treatment,farmer.name,position,replicate,date.collected,region
172,SW1,SH,Bob-Barley,A,1,20191114,SW
173,SW1,SH,Bob-Barley,A,2,20191114,SW
174,SW1,SH,Bob-Barley,A,3,20191114,SW
175,SW1,CV,Bob-Barley,A,1,20191114,SW
176,SW1,CV,Bob-Barley,A,2,20191114,SW
177,SW1,CV,Bob-Barley,A,3,20191114,SW
178,SW1,UD,Bob-Barley,A,1,20191114,SW
179,SW1,UD,Bob-Barley,A,2,20191114,SW
180,SW1,UD,Bob-Barley,A,3,20191114,SW
181,SW1,SH,Bob-Barley,B,1,20191114,SW
182,SW1,SH,Bob-Barley,B,2,20191114,SW
183,SW1,SH,Bob-Barley,B,3,20191114,SW
184,SW1,CV,Connie-Corn,B,1,20191114,SW
185,SW1,CV,Connie-Corn,B,2,20191114,SW
186,SW1,CV,Connie-Corn,B,3,20191114,SW
187,SW1,UD,Bob-Barley,B,1,20191114,SW
188,SW1,UD,Bob-Barley,B,2,20191114,SW
189,SW1,UD,Bob-Barley,B,3,20191114,SW
190,SW2,SH,Sally-Soy,A,1,20191120,SW
191,SW2,SH,Sally-Soy,A,2,20191120,SW
192,SW2,SH,Sally-Soy,A,3,20191120,SW
193,SW2,CV,William-Wheat,A,1,20191120,SW
194,SW2,CV,William-Wheat,A,2,20191120,SW
195,SW2,CV,William-Wheat,A,3,20191120,SW
196,SW2,UD,Sally-Soy,A,1,20191120,SW
197,SW2,UD,Sally-Soy,A,2,20191120,SW
198,SW2,UD,Sally-Soy,A,3,20191120,SW
199,SW2,SH,Sally-Soy,B,1,20191120,SW
200,SW2,SH,Sally-Soy,B,2,20191120,SW
201,SW2,SH,Sally-Soy,B,3,20191120,SW
202,SW2,CV,William-Wheat,B,1,20191120,SW
203,SW2,CV,William-Wheat,B,2,20191120,SW
204,SW2,CV,William-Wheat,B,3,20191120,SW
205,SW2,UD,Sally-Soy,B,1,20191120,SW
206,SW2,UD,Sally-Soy,B,2,20191120,SW
207,SW2,UD,Sally-Soy,B,3,20191120,SW
208,SE3,SH,Bob-Beet,A,1,20191120,SE
209,SE3,SH,Bob-Beet,A,2,20191120,SE
210,SE3,SH,Bob-Beet,A,3,20191120,SE
211,SE3,CV,Oliver-Oats,A,1,20191120,SE
212,SE3,CV,Oliver-Oats,A,2,20191120,SE
213,SE3,CV,Oliver-Oats,A,3,20191120,SE
214,SE3,UD,Bob-Beet,A,1,20191120,SE
215,SE3,UD,Bob-Beet,A,2,20191120,SE
216,SE3,UD,Bob-Beet,A,3,20191120,SE
217,SE3,SH,Bob-Beet,B,1,20191120,SE
218,SE3,SH,Bob-Beet,B,2,20191120,SE
219,SE3,SH,Bob-Beet,B,3,20191120,SE
220,SE3,CV,Oliver-Oats,B,1,20191120,SE
221,SE3,CV,Oliver-Oats,B,2,20191120,SE
222,SE3,CV,Oliver-Oats,B,3,20191120,SE
223,SE3,UD,Bob-Beet,B,1,20191120,SE
224,SE3,UD,Bob-Beet,B,2,20191120,SE
225,SE3,UD,Bob-Beet,B,3,20191120,SE
226,SE4,SH,Polly-Peas,A,1,20191114,SE
227,SE4,SH,Polly-Peas,A,2,20191114,SE
228,SE4,SH,Polly-Peas,A,3,20191114,SE
229,SE4,CV,Sal-Sunflower,A,1,20191114,SE
230,SE4,CV,Sal-Sunflower,A,2,20191114,SE
231,SE4,CV,Sal-Sunflower,A,3,20191114,SE
232,SE4,UD,Polly-Peas,A,1,20191114,SE
233,SE4,UD,Polly-Peas,A,2,20191114,SE
234,SE4,UD,Polly-Peas,A,3,20191114,SE
235,SE4,SH,Polly-Peas,B,1,20191114,SE
236,SE4,SH,Polly-Peas,B,2,20191114,SE
237,SE4,SH,Polly-Peas,B,3,20191114,SE
238,SE4,CV,Sal-Sunflower,B,1,20191114,SE
239,SE4,CV,Sal-Sunflower,B,2,20191114,SE
240,SE4,CV,Sal-Sunflower,B,3,20191114,SE
241,SE4,UD,Polly-Peas,B,1,20191114,SE
242,SE4,UD,Polly-Peas,B,2,20191114,SE
243,SE4,UD,Polly-Peas,B,3,20191114,SE
